SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1731946995.261231, -0.031274, -0.556353, -9.802161, -0.003457, 0.003604, -0.002071, , , 
1731946995.271096, -0.024541, -0.586130, -9.810989, -0.004978, 0.003964, -0.002182, , , 
1731946995.281296, -0.013916, -0.581941, -9.820866, -0.003301, 0.003764, -0.001374, , , 
1731946995.290303, -0.020650, -0.601394, -9.826402, -0.004098, 0.002096, -0.000382, , , 
1731946995.301231, -0.036512, -0.585532, -9.814880, -0.004193, 0.002586, -0.002471, , , 
1731946995.311224, -0.034566, -0.569221, -9.814431, -0.003138, 0.003405, -0.001411, , , 
1731946995.321016, -0.028282, -0.544232, -9.800814, -0.004572, 0.003142, -0.000349, , , 
1731946995.331216, -0.025887, -0.537349, -9.818920, -0.004449, 0.002679, -0.000728, , , 
1731946995.341279, -0.041450, -0.556652, -9.807398, -0.004091, 0.003385, -0.001593, , , 
1731946995.351241, -0.022146, -0.563386, -9.803508, -0.001830, 0.004000, -0.001773, , , 
1731946995.361250, -0.023493, -0.587477, -9.807548, -0.002930, 0.004185, -0.000802, , , 
1731946995.371236, -0.032920, -0.585532, -9.808296, -0.004031, 0.003185, -0.000860, , , 
1731946995.381251, -0.017508, -0.579397, -9.815928, -0.003021, 0.003046, -0.002013, , , 
1731946995.391280, -0.027234, -0.576554, -9.812037, -0.003880, 0.003473, -0.002313, , , 
1731946995.401292, -0.025588, -0.558896, -9.806500, -0.003842, 0.003474, -0.001185, , , 
1731946995.411220, -0.024840, -0.558896, -9.800664, -0.005027, 0.004055, 0.000480, , , 
1731946995.421226, -0.024840, -0.561590, -9.809044, -0.004454, 0.003578, 0.000960, , , 
1731946995.431248, -0.028431, -0.556502, -9.800515, -0.004165, 0.003100, -0.000489, , , 
1731946995.441290, -0.041749, -0.572813, -9.803957, -0.004367, 0.003699, -0.000427, , , 
1731946995.451239, -0.029179, -0.576404, -9.806500, -0.005474, 0.004625, -0.001937, , , 
1731946995.461221, -0.030676, -0.564583, -9.823559, -0.004442, 0.003457, -0.001394, , , 
1731946995.470831, -0.030975, -0.568024, -9.802759, -0.004461, 0.003940, 0.000291, , , 
1731946995.481228, -0.028431, -0.564882, -9.808895, -0.004325, 0.002932, -0.000974, , , 
1731946995.491274, -0.034716, -0.557101, -9.813982, -0.004580, 0.004120, -0.000944, , , 
1731946995.501240, -0.022895, -0.555156, -9.802909, -0.003482, 0.004407, -0.001935, , , 
1731946995.511225, -0.019603, -0.554856, -9.808446, -0.002376, 0.002487, -0.002594, , , 
1731946995.521229, -0.027234, -0.561590, -9.805004, -0.003205, 0.003442, 0.000123, , , 
1731946995.531255, -0.023792, -0.561590, -9.794529, -0.004503, 0.003204, -0.000560, , , 
1731946995.541282, -0.026635, -0.578499, -9.800066, -0.004503, 0.003321, -0.001025, , , 
1731946995.551303, -0.027084, -0.579098, -9.819070, -0.004528, 0.003972, -0.000344, , , 
1731946995.561241, -0.027234, -0.589123, -9.810989, -0.003469, 0.003138, -0.000656, , , 
1731946995.570752, -0.019752, -0.588525, -9.806500, -0.004588, 0.003964, -0.002307, , , 
1731946995.581249, -0.030227, -0.569371, -9.821763, -0.003921, 0.002933, -0.001638, , , 
1731946995.591283, -0.023343, -0.553958, -9.806201, -0.003018, 0.002801, -0.001112, , , 
1731946995.601313, -0.021847, -0.556203, -9.806650, -0.003210, 0.002099, -0.000603, , , 
1731946995.611305, -0.022745, -0.559944, -9.803657, -0.005952, 0.003561, -0.000664, , , 
1731946995.620574, -0.036212, -0.570867, -9.802161, -0.002654, 0.003514, -0.001020, , , 
1731946995.631236, -0.033369, -0.572663, -9.815628, -0.003770, 0.004051, -0.002020, , , 
1731946995.641279, -0.025588, -0.590620, -9.809194, -0.004191, 0.004323, -0.001712, , , 
1731946995.651216, -0.023194, -0.582090, -9.815479, -0.003832, 0.002987, -0.001547, , , 
1731946995.661312, -0.033369, -0.576853, -9.812785, -0.004962, 0.003262, -0.002281, , , 
1731946995.670467, -0.034566, -0.571616, -9.800814, -0.005716, 0.002834, 0.000284, , , 
1731946995.681233, -0.034716, -0.565481, -9.810690, -0.004977, 0.003469, -0.000757, , , 
1731946995.691279, -0.026785, -0.557849, -9.801113, -0.004289, 0.004235, -0.001311, , , 
1731946995.701209, -0.030975, -0.557250, -9.807847, -0.003735, 0.004495, -0.001397, , , 
1731946995.711224, -0.024092, -0.572513, -9.816227, -0.003978, 0.002743, -0.002062, , , 
1731946995.721246, -0.025738, -0.575955, -9.813533, -0.004980, 0.004680, -0.001072, , , 
1731946995.731225, -0.017208, -0.598401, -9.810241, -0.002665, 0.003294, -0.001748, , , 
