SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1731955635.546139, 0.011672, 0.033070, -9.823409, -0.002886, 0.003245, -0.001876, , , 
1731955635.556063, 0.008829, 0.023792, -9.809942, -0.004073, 0.003630, -0.000976, , , 
1731955635.566167, 0.012869, 0.010774, -9.824158, -0.003344, 0.005138, -0.002857, , , 
1731955635.575170, 0.002245, 0.021249, -9.835979, -0.005640, 0.004595, 0.000251, , , 
1731955635.586158, 0.005986, 0.006883, -9.832537, -0.004781, 0.003813, -0.001141, , , 
1731955635.596141, 0.002843, 0.021997, -9.818322, -0.003517, 0.002576, -0.000183, , , 
1731955635.606143, 0.020949, 0.028581, -9.824607, -0.004196, 0.003950, -0.000671, , , 
1731955635.616141, 0.007632, 0.022595, -9.817274, -0.004326, 0.002798, -0.000515, , , 
1731955635.626138, 0.003292, 0.014365, -9.813833, -0.004416, 0.004066, -0.000159, , , 
1731955635.636222, 0.004190, 0.026635, -9.823858, -0.003596, 0.002939, 0.000257, , , 
1731955635.646158, 0.021997, 0.012270, -9.824756, -0.001674, 0.004538, -0.001840, , , 
1731955635.656230, 0.006734, 0.019453, -9.826701, -0.003902, 0.003215, -0.001699, , , 
1731955635.666217, 0.016011, 0.003741, -9.820866, -0.003931, 0.002717, -0.001283, , , 
1731955635.676160, 0.005088, 0.002993, -9.826253, -0.003425, 0.002389, -0.000561, , , 
1731955635.686161, 0.000150, 0.017807, -9.822960, -0.003355, 0.004765, -0.004548, , , 
1731955635.696140, 0.011821, 0.017657, -9.821913, -0.004003, 0.004395, -0.001804, , , 
1731955635.706200, -0.003442, 0.018854, -9.815928, -0.003439, 0.002988, -0.000122, , , 
1731955635.716163, 0.011672, 0.017657, -9.815030, -0.002896, 0.004559, -0.001399, , , 
1731955635.725937, 0.011522, 0.016909, -9.808895, -0.002602, 0.004675, -0.002569, , , 
1731955635.736141, 0.016161, 0.019453, -9.819968, -0.004391, 0.003252, -0.001058, , , 
1731955635.746148, 0.017208, 0.022296, -9.814282, -0.002798, 0.004259, -0.002298, , , 
1731955635.756040, 0.007332, 0.008978, -9.831041, -0.005029, 0.004371, -0.001226, , , 
