epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1730980851887,2024-11-07T13:00:51.887,1.430,0.495,-0.080,0.183
1730980851892,2024-11-07T13:00:51.892,1.435,0.541,-0.126,0.168
1730980851897,2024-11-07T13:00:51.897,1.440,0.575,-0.069,0.297
1730980851902,2024-11-07T13:00:51.902,1.445,0.423,-0.156,0.332
1730980851907,2024-11-07T13:00:51.907,1.450,0.446,-0.282,0.259
1730980851912,2024-11-07T13:00:51.912,1.455,0.454,-0.042,0.244
1730980851917,2024-11-07T13:00:51.917,1.460,0.655,-0.137,0.152
1730980851922,2024-11-07T13:00:51.922,1.465,0.690,-0.160,-0.111
1730980851927,2024-11-07T13:00:51.927,1.470,0.595,-0.316,-0.446
1730980851932,2024-11-07T13:00:51.932,1.475,0.518,-0.229,-1.075
1730980851937,2024-11-07T13:00:51.937,1.480,0.579,-0.149,-2.012
1730980851942,2024-11-07T13:00:51.942,1.485,0.560,-0.027,-2.504
1730980851947,2024-11-07T13:00:51.947,1.490,0.633,-0.027,-2.435
1730980851952,2024-11-07T13:00:51.952,1.495,0.583,-0.057,-2.268
1730980851957,2024-11-07T13:00:51.957,1.500,0.865,0.095,-1.380
1730980851962,2024-11-07T13:00:51.962,1.505,0.652,-0.145,-0.400
1730980851967,2024-11-07T13:00:51.967,1.510,0.221,-0.034,0.328
1730980851972,2024-11-07T13:00:51.972,1.515,0.705,-0.267,0.290
1730980851977,2024-11-07T13:00:51.977,1.520,0.595,0.389,0.335
1730980851982,2024-11-07T13:00:51.982,1.525,0.621,0.000,0.377
1730980851987,2024-11-07T13:00:51.987,1.530,0.347,-0.362,0.229
1730980851992,2024-11-07T13:00:51.992,1.535,0.724,-0.149,0.278
1730980851997,2024-11-07T13:00:51.997,1.540,0.705,-0.099,0.244
1730980852002,2024-11-07T13:00:52.002,1.545,0.495,-0.412,0.152
1730980852007,2024-11-07T13:00:52.007,1.550,0.530,-0.309,0.396
1730980852012,2024-11-07T13:00:52.012,1.555,0.556,-0.008,0.313
1730980852017,2024-11-07T13:00:52.017,1.560,0.587,-0.133,0.183
1730980852022,2024-11-07T13:00:52.022,1.565,0.568,-0.057,0.240
1730980852027,2024-11-07T13:00:52.027,1.570,0.755,0.080,0.354
1730980852032,2024-11-07T13:00:52.032,1.575,0.675,0.057,0.290
1730980852037,2024-11-07T13:00:52.037,1.580,0.785,0.027,0.217
1730980852042,2024-11-07T13:00:52.042,1.585,0.781,0.034,0.248
1730980852047,2024-11-07T13:00:52.047,1.590,0.648,0.034,0.366
1730980852052,2024-11-07T13:00:52.052,1.595,0.469,-0.324,0.206
1730980852057,2024-11-07T13:00:52.057,1.600,0.766,-0.084,0.171
1730980852062,2024-11-07T13:00:52.062,1.605,0.526,-0.057,0.187
1730980852067,2024-11-07T13:00:52.067,1.610,0.248,-0.522,0.274
1730980852072,2024-11-07T13:00:52.072,1.615,0.690,-0.164,0.191
1730980852077,2024-11-07T13:00:52.077,1.620,0.648,-0.004,0.229
1730980852082,2024-11-07T13:00:52.082,1.625,0.541,-0.366,0.263
1730980852087,2024-11-07T13:00:52.087,1.630,0.556,-0.160,0.263
1730980852092,2024-11-07T13:00:52.092,1.635,0.583,-0.069,0.221
1730980852097,2024-11-07T13:00:52.097,1.640,0.629,-0.080,0.236
1730980852102,2024-11-07T13:00:52.102,1.645,0.617,-0.057,0.240
1730980852107,2024-11-07T13:00:52.107,1.650,0.617,-0.099,0.305
1730980852112,2024-11-07T13:00:52.112,1.655,0.659,-0.111,0.240
1730980852117,2024-11-07T13:00:52.117,1.660,0.667,-0.202,0.187
1730980852122,2024-11-07T13:00:52.122,1.665,0.697,-0.057,0.194
1730980852127,2024-11-07T13:00:52.127,1.670,0.663,-0.053,0.293
1730980852132,2024-11-07T13:00:52.132,1.675,0.537,-0.160,0.255
1730980852137,2024-11-07T13:00:52.137,1.680,0.495,-0.156,0.171
1730980852142,2024-11-07T13:00:52.142,1.685,0.697,-0.198,0.171
1730980852147,2024-11-07T13:00:52.147,1.690,0.579,-0.179,0.130
1730980852152,2024-11-07T13:00:52.152,1.695,0.530,-0.267,0.149
1730980852157,2024-11-07T13:00:52.157,1.700,0.484,-0.290,0.187
1730980852162,2024-11-07T13:00:52.162,1.705,0.442,-0.156,0.160
1730980852167,2024-11-07T13:00:52.167,1.710,0.705,-0.175,0.309
1730980852172,2024-11-07T13:00:52.172,1.715,0.640,-0.103,0.168
1730980852177,2024-11-07T13:00:52.177,1.720,0.587,-0.050,0.053
